system   D            wsystem.c:583  maybe_parent_dir                 [   0.00262] Also searching F:\Object Oriented C++ Programming\LUA Project\Y2_LUA_Attack\
display  D   display_settings.c:377  _al_score_display_settings       [   0.21224] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21281] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21340] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21427] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21488] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21547] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21613] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21674] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21738] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21796] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21856] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21909] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21975] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.22035] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.22091] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.22145] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.22216] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.22289] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.22351] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.22408] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.22471] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.22529] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.22591] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.22654] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.22711] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.22770] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.22833] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.22895] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.22952] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.23016] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.23070] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.23132] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.23199] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.23273] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.23327] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.23390] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.23448] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.23509] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.23569] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.23627] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.23691] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.23757] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.23822] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.23887] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.23941] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.23998] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.24066] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.24123] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.24197] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.24273] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.24326] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.24380] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.24443] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.24512] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.24574] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.24641] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.24708] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.24766] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.24831] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.24888] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.24943] Score is : 598
