system   D            wsystem.c:583  maybe_parent_dir                 [   0.00266] Also searching F:\Object Oriented C++ Programming\LUA Project\Y2_LUA_Attack\
display  D   display_settings.c:191  debug_display_settings           [   0.12886] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12950] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13006] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13073] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13134] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13200] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13268] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13333] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13399] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13459] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13516] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13590] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13661] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13731] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13810] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13879] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13949] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.14012] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14078] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.14151] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14206] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14277] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14347] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14406] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14495] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14568] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14631] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.14698] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14767] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.14830] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14894] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14961] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.15031] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.15099] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.15165] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.15234] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.15304] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.15378] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.15448] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.15504] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.15565] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.15627] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.15684] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.15736] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.15801] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.15862] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.15925] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.15991] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.16053] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.16115] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.16177] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.16233] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.16292] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.16347] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.16456] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.16565] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.16627] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.16727] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.16830] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.16973] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17077] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17182] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17253] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17373] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17446] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17517] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17587] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17704] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17804] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17904] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17970] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18030] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.18097] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18172] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.18278] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18346] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.18400] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18501] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18560] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18666] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.18727] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18823] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.18924] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18984] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.19054] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19125] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.19188] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19249] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19322] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19386] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19456] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19511] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.19585] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19648] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.19705] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
